message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHashIndexedCount: 25000 & 0.5,1364237,0.5,100,25000,25000,TwoHashIndexedCount,1.3435918460004033,11.359375,29.32421875,0,0.017816543579101562,102.44140625,353.64453125,5.2543487548828125,17.227691650390625
TwoHash: 25000 & 0.5,1388003,0.5,100,25000,25000,TwoHash,1.4240850579999387,10.09375,28.30859375,0,0.017816543579101562,69.0078125,331.24609375,2.3868789672851562,14.370353698730469
TwoHashIndexed: 25000 & 0.5,1411471,0.5,100,25000,25000,TwoHashIndexed,1.4953053220007568,11.4375,29.15234375,0,0.017816543579101562,81.71484375,333.54296875,2.021514892578125,13.977714538574219
TwoHashIndexed: 25000 & 0.75,3411328,0.75,100,25000,25000,TwoHashIndexed,2.41074142299965,23,49.89453125,0,0.017816543579101562,200.75,457.88671875,15.962127685546875,27.987411499023438
TwoHash: 25000 & 0.75,3387146,0.75,100,25000,25000,TwoHash,2.508580330999568,20.890625,48.03515625,0,0.017816543579101562,185.01953125,419.15625,7.691078186035156,19.707923889160156
TwoHashIndexedCount: 25000 & 0.75,3379080,0.75,100,25000,25000,TwoHashIndexedCount,2.5927532069999724,22.5,49.64453125,0,0.017816543579101562,161.7109375,427.72265625,7.475608825683594,19.465469360351562
TwoHashIndexed: 25000 & 0.9,5047543,0.9,100,25000,25000,TwoHashIndexed,2.9877049470003696,24.609375,51.64453125,0,0.017816543579101562,181.453125,496.04296875,19.018638610839844,32.69221496582031
TwoHashIndexedCount: 25000 & 0.9,5035057,0.9,100,25000,25000,TwoHashIndexedCount,3.451163946999237,23.9296875,51.39453125,0,0.017816543579101562,176.42578125,499.640625,13.776344299316406,27.540252685546875
TwoHash: 25000 & 0.9,5035940,0.9,100,25000,25000,TwoHash,3.5634027790017426,22.5703125,49.78515625,0,0.017816543579101562,207.9140625,503.015625,11.725128173828125,25.3642578125
TwoHashIndexed: 50000 & 0.25,1332428,0.25,100,50000,50000,TwoHashIndexed,4.476803015001118,20.46875,48.38671875,0,0.017816543579101562,206.32421875,533.4140625,9.106597900390625,22.868438720703125
TwoHashIndexedCount: 50000 & 0.25,1153639,0.25,100,50000,50000,TwoHashIndexedCount,4.608382547000423,19.46875,47.38671875,0,0.017816543579101562,152.98828125,515.25,15.558929443359375,29.384605407714844
TwoHash: 50000 & 0.25,1302577,0.25,100,50000,50000,TwoHash,4.784432438001037,19.125,47.29296875,0,0.017816543579101562,148.81640625,468.640625,5.5240325927734375,19.26165008544922
TwoHashIndexed: 50000 & 0.5,5683591,0.5,100,50000,50000,TwoHashIndexed,6.080421741999686,26.9296875,54.90234375,0,0.017816543579101562,142.3125,569.53515625,14.840705871582031,32.809730529785156
TwoHash: 50000 & 0.5,5630198,0.5,100,50000,50000,TwoHash,6.319679310999811,24.3203125,52.04296875,0,0.017816543579101562,125.671875,545.71484375,6.5916595458984375,24.674583435058594
TwoHashIndexedCount: 50000 & 0.5,5577588,0.5,100,50000,50000,TwoHashIndexedCount,6.731873495999723,26.6796875,53.90234375,0,0.017816543579101562,109.2734375,524.90234375,2.7265243530273438,20.68329620361328
TwoHashIndexedCount: 50000 & 0.75,13632778,0.75,100,50000,50000,TwoHashIndexedCount,9.57682996200025,8.359375,57.15234375,0,0.017816543579101562,115.578125,589.9375,14.560661315917969,29.38311004638672
TwoHashIndexed: 50000 & 0.75,13704178,0.75,100,50000,50000,TwoHashIndexed,10.178955520000308,11.359375,60.15234375,0,0.017816543579101562,98.73046875,573.26953125,21.71868896484375,36.58094024658203
TwoHash: 50000 & 0.75,13647216,0.75,100,50000,50000,TwoHash,11.151320278000087,7.75,56.29296875,0,0.017816543579101562,65.80859375,554.57421875,13.502525329589844,28.460296630859375
TwoHashIndexed: 50000 & 0.9,20252459,0.9,100,50000,50000,TwoHashIndexed,11.637520289000124,15.8671875,65.91015625,0,0.017816543579101562,116.44140625,592.3984375,18.527069091796875,37.869972229003906
TwoHash: 75000 & 0.25,2869930,0.25,100,75000,75000,TwoHash,9.257268108999357,4,52.68359375,0,0.017816543579101562,8.00390625,553.71875,2.6474533081054688,22.459388732910156
TwoHashIndexedCount: 75000 & 0.25,2622188,0.25,100,75000,75000,TwoHashIndexedCount,8.928958349000663,2.84375,51.52734375,0,0.017816543579101562,62.9375,562.875,13.218475341796875,33.49799346923828
TwoHashIndexed: 75000 & 0.25,2916531,0.25,100,75000,75000,TwoHashIndexed,9.703026352999732,4.34375,53.27734375,0,0.017816543579101562,27.40234375,550.5546875,5.145042419433594,24.965057373046875
TwoHash: 50000 & 0.9,20223638,0.9,100,50000,50000,TwoHash,13.364669036000967,7.5,58.04296875,0,0.017816543579101562,44.18359375,559.30859375,16.61388397216797,35.983497619628906
TwoHashIndexedCount: 50000 & 0.9,20220615,0.9,100,50000,50000,TwoHashIndexedCount,13.309711617000401,10.1171875,60.16015625,0,0.017816543579101562,56.37109375,534.265625,21.103866577148438,40.02581787109375
TwoHashIndexed: 75000 & 0.5,12849349,0.5,100,75000,75000,TwoHashIndexed,13.485167613999918,14.21484375,62.80859375,0,0.017816543579101562,97.390625,644.21484375,19.352073669433594,43.392234802246094
TwoHash: 75000 & 0.5,12763642,0.5,100,75000,75000,TwoHash,14.327247118998319,9.35546875,57.94921875,0,0.017816543579101562,48.15234375,609.60546875,6.506065368652344,30.512588500976562
TwoHashIndexedCount: 75000 & 0.5,12676190,0.5,100,75000,75000,TwoHashIndexedCount,14.753792012000456,10.71484375,59.30859375,0,0.017816543579101562,69.2109375,608.16015625,1.879241943359375,25.91009521484375
TwoHashIndexedCount: 75000 & 0.75,30832778,0.75,100,75000,75000,TwoHashIndexedCount,21.456527281999588,15.20703125,64.98046875,0,0.017816543579101562,111.59765625,660.77734375,12.145317077636719,39.9014892578125
TwoHash: 75000 & 0.75,30853801,0.75,100,75000,75000,TwoHash,23.745328305998818,14.08984375,63.36328125,0,0.017816543579101562,136.95703125,647.33203125,11.22943115234375,39.001365661621094
TwoHashIndexed: 75000 & 0.75,30939400,0.75,100,75000,75000,TwoHashIndexed,24.06761931400001,22.70703125,72.23046875,0,0.017816543579101562,93.5546875,636.50390625,21.883377075195312,49.662994384765625
TwoHash: 100000 & 0.25,5064887,0.25,100,100000,100000,TwoHash,16.840809875000268,6.75,57.3515625,0,0.017816543579101562,83.80859375,642.203125,2.1724395751953125,28.729454040527344
TwoHashIndexedCount: 100000 & 0.25,4689431,0.25,100,100000,100000,TwoHashIndexedCount,16.04068170900084,6.59375,56.6953125,0,0.017816543579101562,56.44140625,637.96875,0.054962158203125,26.707305908203125
TwoHashIndexed: 100000 & 0.25,5132000,0.25,100,100000,100000,TwoHashIndexed,17.616505279000847,8.09375,58.9453125,0,0.017816543579101562,-0.90234375,589.1328125,10.429023742675781,39.90868377685547
TwoHash: 75000 & 0.9,45531519,0.9,100,75000,75000,TwoHash,29.27183534399979,13,64.828125,0,0.017816543579101562,99.47265625,652.15625,2.2659988403320312,31.306304931640625
