message§results§ratio§elements§numberLeft§numberRight§joinIteratorString§execution time§heapTotal diff§heapTotal total§arrayBuffers dif§arrayBuffers total§rss diff§rss total§heap diff§head total
TwoHashIndexed: 25000 & 0.75§3411328§0.75§100§25000§25000§TwoHashIndexed§2,19621§22,7500§50,1445§0,00000§0,0178165§196,117§441,188§7,84772§19,8158
TwoHashIndexedCount: 25000 & 0.75§3379080§0.75§100§25000§25000§TwoHashIndexedCount§2,47212§22,7500§50,1445§0,00000§0,0178165§187,469§438,414§7,49234§19,3738
TwoHash: 25000 & 0.75§3387146§0.75§100§25000§25000§TwoHash§2,60064§21,3906§48,2852§0,00000§0,0178165§164,695§400,766§14,2125§26,2353
TwoHashIndexed: 25000 & 0.9§5047543§0.9§100§25000§25000§TwoHashIndexed§2,55388§23,9297§51,3945§0,00000§0,0178165§123,164§440,121§10,8534§24,5275
TwoHash: 25000 & 0.9§5035940§0.9§100§25000§25000§TwoHash§3,16852§22,5000§49,5352§0,00000§0,0178165§172,102§481,707§12,6599§26,2373
TwoHashIndexedCount: 25000 & 0.9§5035057§0.9§100§25000§25000§TwoHashIndexedCount§3,07263§24,6797§51,8945§0,00000§0,0178165§132,477§451,820§13,9463§27,6414
TwoHash: 50000 & 0.25§1302577§0.25§100§50000§50000§TwoHash§4,34699§19,6250§47,7930§0,00000§0,0178165§180,879§521,410§4,30780§18,6915
TwoHashIndexed: 50000 & 0.25§1332428§0.25§100§50000§50000§TwoHashIndexed§4,34178§20,9688§48,6367§0,00000§0,0178165§161,066§504,855§8,87007§23,3660
TwoHashIndexedCount: 50000 & 0.25§1153639§0.25§100§50000§50000§TwoHashIndexedCount§4,36198§19,7188§47,8867§0,00000§0,0178165§83,6250§467,824§15,5612§29,9756
TwoHashIndexed: 50000 & 0.5§5683591§0.5§100§50000§50000§TwoHashIndexed§5,51068§23,1094§54,6523§0,00000§0,0178165§177,145§561,883§13,4706§26,5057
TwoHash: 50000 & 0.5§5630198§0.5§100§50000§50000§TwoHash§5,89532§20,2500§51,7930§0,00000§0,0178165§84,0273§515,566§19,7447§33,0665
TwoHashIndexedCount: 50000 & 0.5§5577588§0.5§100§50000§50000§TwoHashIndexedCount§5,64368§22,1094§53,4023§0,00000§0,0178165§107,418§504,613§17,0023§30,5386
TwoHashIndexed: 50000 & 0.75§13704178§0.75§100§50000§50000§TwoHashIndexed§8,35019§27,1094§59,9023§0,00000§0,0178165§147,898§576,063§13,9554§31,7651
TwoHash: 50000 & 0.75§13647216§0.75§100§50000§50000§TwoHash§8,93208§23,0000§56,0430§0,00000§0,0178165§81,8516§522,559§5,51398§23,2767
TwoHashIndexedCount: 50000 & 0.75§13632778§0.75§100§50000§50000§TwoHashIndexedCount§8,76538§24,3594§57,1523§0,00000§0,0178165§71,7422§531,527§7,39684§25,1631
TwoHash: 75000 & 0.25§2869930§0.25§100§75000§75000§TwoHash§7,80032§3,25000§52,1836§0,00000§0,0178165§83,1328§580,090§2,70692§22,5256
TwoHashIndexedCount: 75000 & 0.25§2622188§0.25§100§75000§75000§TwoHashIndexedCount§7,59454§2,84375§52,2773§0,00000§0,0178165§50,7422§536,055§13,4302§33,4219
TwoHashIndexed: 50000 & 0.9§20252459§0.9§100§50000§50000§TwoHashIndexed§10,2602§31,8672§65,6602§0,00000§0,0178165§87,1289§536,926§28,2481§47,7493
TwoHashIndexed: 75000 & 0.25§2916531§0.25§100§75000§75000§TwoHashIndexed§8,59654§3,59375§53,2773§0,00000§0,0178165§89,4766§554,063§4,80776§24,6277
TwoHash: 50000 & 0.9§20223638§0.9§100§50000§50000§TwoHash§12,1140§24,5000§58,0430§0,00000§0,0178165§78,6406§582,996§11,8535§31,3268
TwoHashIndexedCount: 50000 & 0.9§20220615§0.9§100§50000§50000§TwoHashIndexedCount§11,9576§26,3672§59,9102§0,00000§0,0178165§85,3242§555,074§15,9697§35,5608
TwoHashIndexedCount: 75000 & 0.5§12676190§0.5§100§75000§75000§TwoHashIndexedCount§11,8153§8,60938§59,2930§0,00000§0,0178165§117,711§629,551§11,6211§33,2729
TwoHash: 75000 & 0.5§12763642§0.5§100§75000§75000§TwoHash§12,6046§7,25000§57,9336§0,00000§0,0178165§86,8945§603,320§16,2362§37,8442
TwoHashIndexed: 75000 & 0.5§12849349§0.5§100§75000§75000§TwoHashIndexed§12,9022§11,3594§62,7930§0,00000§0,0178165§49,2969§580,324§12,3112§33,1606
TwoHashIndexedCount: 75000 & 0.75§30832778§0.75§100§75000§75000§TwoHashIndexedCount§20,1803§14,9727§64,8164§0,00000§0,0178165§133,984§651,832§10,8231§37,8571
TwoHashIndexed: 75000 & 0.75§30939400§0.75§100§75000§75000§TwoHashIndexed§20,5138§21,9727§72,0664§0,00000§0,0178165§120,574§601,996§21,0197§48,1160
TwoHash: 75000 & 0.75§30853801§0.75§100§75000§75000§TwoHash§22,0357§13,1055§63,1992§0,00000§0,0178165§86,1758§613,727§10,0106§37,1259
TwoHash: 100000 & 0.25§5064887§0.25§100§100000§100000§TwoHash§15,2052§7,66016§57,4063§0,00000§0,0178165§17,9492§621,145§4,27081§32,0101
TwoHashIndexed: 100000 & 0.25§5132000§0.25§100§100000§100000§TwoHashIndexed§15,3635§9,00391§58,7500§0,00000§0,0178165§36,3867§615,586§12,7911§40,4449
TwoHashIndexedCount: 100000 & 0.25§4689431§0.25§100§100000§100000§TwoHashIndexedCount§15,8452§7,50391§57,2500§0,00000§0,0178165§71,3516§623,305§0,914833§28,5420
TwoHashIndexedCount: 75000 & 0.9§45528348§0.9§100§75000§75000§TwoHashIndexedCount§24,7606§15,7070§66,7305§0,00000§0,0178165§97,6328§641,215§11,5208§40,9411
TwoHashIndexed: 75000 & 0.9§45580146§0.9§100§75000§75000§TwoHashIndexed§25,7744§25,7070§76,4805§0,00000§0,0178165§132,047§638,039§27,5866§57,0706
TwoHash: 75000 & 0.9§45531519§0.9§100§75000§75000§TwoHash§29,9791§14,0898§64,6133§0,00000§0,0178165§92,7891§638,621§10,6799§39,9244
TwoHash: 100000 & 0.5§22569926§0.5§100§100000§100000§TwoHash§25,3255§12,2500§64,6016§0,00000§0,0178165§127,543§698,766§4,70789§36,0898
TwoHashIndexedCount: 100000 & 0.5§22460675§0.5§100§100000§100000§TwoHashIndexedCount§25,4092§12,3594§64,7109§0,00000§0,0178165§97,8711§696,016§-0,271423§31,2434
TwoHashIndexed: 100000 & 0.5§22691070§0.5§100§100000§100000§TwoHashIndexed§28,2268§17,6094§69,9609§0,00000§0,0178165§95,1328§692,609§18,3105§49,6896
TwoHashIndexedCount: 100000 & 0.75§54784199§0.75§100§100000§100000§TwoHashIndexedCount§39,8094§18,8672§70,5586§0,00000§0,0178165§92,8750§707,340§8,50629§37,1780
TwoHash: 100000 & 0.75§54815628§0.75§100§100000§100000§TwoHash§43,2844§17,2500§69,1914§0,00000§0,0178165§90,6406§703,102§20,4742§49,0409
TwoHashIndexed: 100000 & 0.75§54939480§0.75§100§100000§100000§TwoHashIndexed§48,2455§28,1172§79,3789§0,00000§0,0178165§97,6523§705,332§22,5304§51,4096
TwoHashIndexedCount: 100000 & 0.9§80987066§0.9§100§100000§100000§TwoHashIndexedCount§49,8721§20,6172§72,6289§0,00000§0,0178165§75,5664§701,582§14,1821§47,3132
TwoHash: 100000 & 0.9§80991039§0.9§100§100000§100000§TwoHash§55,2315§18,7500§70,7617§0,00000§0,0178165§72,5234§698,188§4,29790§37,6712
TwoHashIndexed: 100000 & 0.9§81063416§0.9§100§100000§100000§TwoHashIndexed§60,0924§30,6172§82,8789§0,00000§0,0178165§100,023§713,895§30,6987§64,1534
TwoHash: 150000 & 0.25§10647364§0.25§100§150000§150000§TwoHash§43,5993§6,25000§65,6367§0,00000§0,0178165§9,54688§703,313§15,0103§41,0854
TwoHashIndexed: 150000 & 0.25§10759623§0.25§100§150000§150000§TwoHashIndexed§43,0816§9,42188§68,8086§0,00000§0,0178165§19,5469§710,781§19,2904§45,3456
TwoHashIndexedCount: 150000 & 0.25§9987276§0.25§100§150000§150000§TwoHashIndexedCount§43,4125§6,42188§65,8086§0,00000§0,0178165§35,5938§717,434§8,90013§35,0025
TwoHash: 150000 & 0.5§49393822§0.5§100§150000§150000§TwoHash§76,0104§10,0000§74,7813§0,00000§0,0178165§109,879§811,355§12,3530§47,9975
TwoHashIndexed: 150000 & 0.5§49591484§0.5§100§150000§150000§TwoHashIndexed§78,7610§16,3594§80,8906§0,00000§0,0178165§42,9063§741,738§15,1907§51,2693
TwoHashIndexedCount: 150000 & 0.5§49228410§0.5§100§150000§150000§TwoHashIndexedCount§73,3283§10,6094§74,2617§0,00000§0,0178165§-28,4531§661,879§14,9251§53,4143
TwoHash: 150000 & 0.75§122741252§0.75§100§150000§150000§TwoHash§97,1074§12,7500§81,0156§0,00000§0,0178165§-95,1758§602,262§22,4047§61,3405
TwoHashIndexedCount: 150000 & 0.75§122702590§0.75§100§150000§150000§TwoHashIndexedCount§98,6541§14,3672§82,6328§0,00000§0,0178165§-175,285§523,777§16,8456§55,7249
TwoHashIndexed: 150000 & 0.75§122923745§0.75§100§150000§150000§TwoHashIndexed§111,393§24,3672§92,8828§0,00000§0,0178165§-251,695§444,449§29,5778§68,8500
TwoHashIndexedCount: 150000 & 0.9§182146288§0.9§100§150000§150000§TwoHashIndexedCount§104,703§14,8672§85,9727§0,00000§0,0178165§-369,867§353,363§20,6574§64,8896
TwoHash: 150000 & 0.9§182151990§0.9§100§150000§150000§TwoHash§107,598§13,0000§83,8555§0,00000§0,0178165§-440,152§268,879§14,8053§58,9731
TwoHashIndexed: 150000 & 0.9§182269480§0.9§100§150000§150000§TwoHashIndexed§122,640§21,9219§93,5273§0,00000§0,0178165§-526,523§186,910§22,7080§66,0755
